2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Konkle, M.	4	30	AMERICAN INDIAN CULTURE AND RESEARCH JOURNAL	0161-6463	(Uk)RN203854091	AMERICAN INDIAN CULTURE AND RESEARCH JOURNAL 30(4), 153-154. (2006)	The Indian Chief as Tragic Hero: Native Resistance and the Literatures of America, from Moctezuma to Tecumseh. By Gordon M. Sayre	xxu	eng	UNIVERSITY OF CALIFORNIA	2006
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Hackemer, K.	2	69	HISTORIAN -ALBUQUERQUE THEN ALLENTOWN-	0018-2370	(Uk)RN208302381	HISTORIAN -ALBUQUERQUE THEN ALLENTOWN- 69(2), 316-317. (2007)	Stephen Decatur: American Naval Hero, 1779-1820 - By Robert J. Allison	xxu	eng	Blackwell Publishing Ltd	2007
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Smith, G. A.	3	35	REVIEWS IN AMERICAN HISTORY	0048-7511	(Uk)RN215986998	REVIEWS IN AMERICAN HISTORY 35(3), 358-365. (2007)	"Fighting a War on Terror, or ""Our Country, Right or Wrong!"" Robert J. Allison, Stephen Decatur: American Naval Hero, 1779-1820"	xxu	eng	THE JOHNS HOPKINS UNIVERSITY PRESS	2007
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Fowler, W.	1	40	JOURNAL OF LATIN AMERICAN STUDIES	0022-216X	(Uk)RN223731830	JOURNAL OF LATIN AMERICAN STUDIES 40(1), 143-144. (2008)	Samuel Brunk and Ben Fallaw (eds.), Heroes &amp; Hero Cults in Latin America	xxk	eng	CAMBRIDGE UNIVERSITY PRESS	2008
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Roberts, P.	4	7	JOURNAL OF THE GILDED AGE AND PROGRESSIVE ERA	1537-7814	(Uk)RN242730093	JOURNAL OF THE GILDED AGE AND PROGRESSIVE ERA 7(4), 453-478. (2008)	``All Americans are hero-worshippers'': American Observations on the First U.S. Visit by a Reigning Monarch, 1876	xxu	eng	THE SOCIETY FOR HISTORIANS OF THE GILDED AGE AND PROGRESSIVE ERA	2008
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Earle, R.	1	89	HISPANIC AMERICAN HISTORICAL REVIEW	0018-2168	(Uk)RN244269410	HISPANIC AMERICAN HISTORICAL REVIEW 89(1), 177-178. (2009)	Heroes and Hero Cults in Latin America, edited by Samuel Brunk and Ben Fallaw	xxu	eng	Duke University Press	2009
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Nichols, D. A.	3	71	HISTORIAN -ALBUQUERQUE THEN ALLENTOWN-	0018-2370	(Uk)RN257468460	HISTORIAN -ALBUQUERQUE THEN ALLENTOWN- 71(3), 609-610. (2009)	Ike: An American Hero - By Michael Korda	xxu	eng	Blackwell Publishing Ltd	2009
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Abbaspour, M.M.	1	42	INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES	0020-7438	(Uk)RN267343959	INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES 42(1), 13-16. (2010)	A Hero and a Homeland for Armenians in America: Photography and the Construction of Cultural Memory	xxk	eng	CAMBRIDGE UNIVERSITY PRESS	2010
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Cohen, D.A.	1	30	JOURNAL OF THE EARLY REPUBLIC	0275-1275	(Uk)RN267394129	JOURNAL OF THE EARLY REPUBLIC 30(1), 85-136. (2010)	Making Hero Strong: Teenage Ambition, Story-Paper Fiction, and the Generational Recasting of American Women's Authorship	xxu	eng	University of Pennsylvania Press (Penn Press)	2010
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Leiby, J.S.	3	90	HISPANIC AMERICAN HISTORICAL REVIEW	0018-2168	(Uk)RN275944660	HISPANIC AMERICAN HISTORICAL REVIEW 90(3), 554-555. (2010)	San Martin: Argentine Soldier, American Hero, by John Lynch	xxu	eng	Duke University Press	2010
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Gallo, K.	3	42	JOURNAL OF LATIN AMERICAN STUDIES	0022-216X	(Uk)RN279049819	JOURNAL OF LATIN AMERICAN STUDIES 42(3), 673-674. (2010)	John Lynch, San Martin: Argentine Soldier, American Hero	xxk	eng	CAMBRIDGE UNIVERSITY PRESS	2010
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Keighren, I. M.	2	30	BULLETIN OF LATIN AMERICAN RESEARCH	0261-3050	(Uk)RN286703196	BULLETIN OF LATIN AMERICAN RESEARCH 30(2), 256-258. (2011)	San Martn: Argentine Soldier, American Hero - by Lynch, John	xxk	eng	Blackwell Publishing Ltd	2011
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Dienesch, R.M.	2	21	NORTHERN MARINER	1183-112X	(Uk)RN300058862	NORTHERN MARINER 21(2), 198-199. (2011)	Tim McGrath, John Barry. An American Hero in the Age of Sail	xxc	eng	CNRS	2011
2014-01-31_JA-america.tsv:History_1b-rdf.tsv	Jones, K.	3	40	AMERICAN REVIEW OF CANADIAN STUDIES	0272-2011	(Uk)RN307872624	AMERICAN REVIEW OF CANADIAN STUDIES 40(3), 338-350. (2010)	From Big Bad Wolf to Ecological Hero: Canis Lupus and the Culture(s) of Nature in the American-Canadian West	xxk	eng	Taylor & Francis	2010
